Hanja,mean,sound,meanFiveElements,soundFiveElements
厮,"하인, 하인 , 종 , 노예 , 서로 , 천하다 , 나누다, 부리다 좋지않은 의미 문자 ",시,토,금
昆,"형,벌레, 형, 뒤, 자손, 같다, 많다, 맏 좋지않은 의미 문자 ",곤,화,목화
矇,"청맹과니,어두울, 청맹과니 , 먼눈 좋지않은 의미 문자 ",몽,목,수토
鴕,"타조, 타조 , 화식조 좋지않은 의미 문자 ",타,화,화
疽,"등창, 등창, 악성, 종기, 가려운 병 좋지않은 의미 문자 ",저,수,금
迷,"미혹할, 미혹하다, 해매다, 해매게 하다 좋지않은 의미 문자 ",미,토,수
峭,"가파를, 가파르다, 엄하다, 가파른 비탈 좋지않은 의미 문자 ",초,토,금
貍,"삵,살쾡이, 살쾡이, 너구리 좋지않은 의미 문자 ",이,수,토
割,"벨, 나누다, 가르다, 해치다, 재앙, 베다 좋지않은 의미 문자 ",할,금,토화
汁,"진액,즙, 즙, 진액, 국물, 진눈깨비 좋지않은 의미 문자 ",즙,수,금수성(姓)씨 사용
玼,"흉(티), 옥빛이 깨끗하다, 곱다, 훌륭하다, 훌륭하고 분명하다 좋지않은 의미 문자 ",체,금,금
蟹,"게, 게 좋지않은 의미 문자 ",해,수,토
愾,"성낼, 성내다, 차다, 가득하다, 한숨 쉬다, 한탄하다, 분개하다 좋지않은 의미 문자 ",개,화,목
魁,"괴수, 으뜸, 우두머리, 크다, 편안하다, 별 이름(북두칠성의 첫째 별) 좋지않은 의미 문자 ",괴,화,목
鱉,"자라, 자라 좋지않은 의미 문자 ",별,수,수화
閼,"가로막을, 가로막다 좋지않은 의미 문자 ",알,목,토화
斱,"벨(자를), 베다 , 자르다 , 치다 , 무지하다 , 어리석다 , 찍다 , 때리다 좋지않은 의미 문자 ",작,금,금목
急,"급할, 급하다, 켕기다, 서두르다, 재촉하다 좋지않은 의미 문자 ",급,화,목수
饞,"탐할, 탐하다 , 음식을 탐하다 , 걸신들리다 좋지않은 의미 문자 ",참,수,금수
獐,"노루, 노루 좋지않은 의미 문자 ",장,토,금토
喪,"슬플, 죽다, 복 좋지않은 의미 문자 ",상,수,금토
醪,"막걸리,탁주, 막걸리 , 술 좋지않은 의미 문자 ",료,수,화
掠,"노략질할, 노략질하다, 볼기를 치다, 매질하다 좋지않은 의미 문자 ",략,목,화목
鞦,"밀치(나무막대기), 밀치 , 그네 좋지않은 의미 문자 ",추,금,금
趲,"놀라 흩어질, 놀라 흩어지다 , 흩어져 달리다 , 내닫게 하다 좋지않은 의미 문자 ",찬,화,금화
剗,"깎을,베다, 깎다 , 베다 , 다스리다 , 농기구 좋지않은 의미 문자 ",잔,금,금화
慝,"사특할, 악하다, 사특하다, 간사하다, 더럽다, 재앙, 사투리, 속이다, 숨기다 좋지않은 의미 문자 ",특,화,화목
賽,"굿할, 굿하다 , 내기하다 , 굿 좋지않은 의미 문자 ",새,금,금
瘳,"나을, 낫다 , 낫다, 줄다 좋지않은 의미 문자 ",추,수,금
芊,"우거질, 우거지다 , 무성하다 , 푸르다 , 섞이다 , 푸른 모양 좋지않은 의미 문자 ",천,목,금화
亂,"어지러울, 어지럽다, 다스리다, 건너다, 난리, 음란한 행위, 풍류 좋지않은 의미 문자 ",난,목,화
糜,"죽,문드러질, 죽 , 된죽 , 싸라기 좋지않은 의미 문자 ",미,목,수
裂,"찢어질, 찢어지다, 터지다 좋지않은 의미 문자 ",열,목,토화
咆,"고함지를, 으르렁거리다, 불끈 화를 내다 좋지않은 의미 문자 ",포,수,수
